Prediction,Resolution,Score avg,Score stdev,Scott,Market,Sprfrcaster avg,[extra alignment column],Predictor avg,Aggregate,[extra alignment columns],,,,,,,,,,,,,,,
Gamestop stock price still above $100 (30),0,0.41,0.29,0.36,0.69,0.44,,0.37,0.3,,,,,0.22,0.36,0.51,0.36,0.36,0.29,0.29,0.36,0.16,0.92,1.39,0.69
Bitcoin above 100K (20),0,0.21,0.23,0.22,0.08,0.21,,0.19,0.13,,,,,0.11,0.22,0.36,0.22,0.11,0.22,0.29,0.16,0.22,0.36,0.08,0.2
Ethereum above 5K (20),0,0.3,0.35,0.22,0.22,0.27,,0.27,0.26,,,,,0.11,0.22,0.36,0.22,0.29,0.36,0.29,0.25,0.22,0.36,0.16,0.43
Ethereum above 0.05 BTC (90),1,0.2,0.33,0.11,1.02,0.14,,0.18,0.17,,,,,0.16,0.11,0.36,0.05,0.05,0.11,0.29,0.08,0.11,0.11,0.13,0.16
Dow above 35K (90),0,1.99,0.82,2.3,0.78,1.38,,1.61,1.6,,,,,1.9,2.3,1.61,1.61,1.39,1.61,1.2,1.51,1.39,0.92,0.63,1.51
Dow above 37.5K (40),0,0.65,0.44,0.51,0.36,0.57,,0.6,0.67,,,,,0.36,0.51,0.8,0.51,1.05,0.69,0.6,1.05,0.51,0.16,0.43,0.51
Inflation for the year below five percent (90),0,1.54,0.86,2.3,0.6,1.32,,1.15,0.94,,,,,1.9,2.3,1.61,0.51,2.3,1.2,0.92,1.2,0.69,1.61,1.9,1.61
Unemployment below five percent in December (50),1,0.56,0.4,0.69,0.31,0.39,,0.47,0.35,,,,,0.22,0.69,0.51,0.69,0.05,0.69,0.36,0.22,0.36,0.36,0.11,0.69
"Google widely allows remote work, no questions asked (50)",0,0.8,0.42,0.69,0.15,0.73,,0.74,0.79,,,,,1.05,0.69,0.51,0.69,0.69,1.2,0.69,0.69,0.69,0.69,0.6,0.69
Starship reaches orbit (90),0,2.16,0.64,2.3,2.81,2,,1.86,1.88,,,,,2.3,2.3,1.9,2.3,1.39,2.3,1.61,2.3,2.3,2.3,1.9,2.3
Fewer than 10K daily average official COVID cases in US in December 2022 (20),0,0.26,0.33,0.22,,0.34,,0.23,0.16,,,,,0.51,0.22,0.51,1.2,0.11,0.36,0.51,0.2,0.22,0.16,0.29,0.11
Fewer than 50K daily average COVID cases worldwide in December 2022 (1),0,0.06,0.18,0.01,0.02,0.03,,0.05,0.03,,,,,0.03,0.01,0.05,0.01,0.01,0.05,0.11,0.03,0.01,0.01,0.01,0.01
>66% US population fully vaccinated (by current standards) against COVID (70),1,0.34,0.25,0.36,0.22,0.31,,0.31,0.22,,,,,0.43,0.36,0.25,0.43,0.16,0.51,0.43,0.51,0.22,0.29,0.07,0.16
India's official case count is higher than US (5),0,0.16,0.28,0.05,,0.11,,0.15,0.14,,,,,0.11,0.05,0.11,0.03,0.05,0.11,0.36,0.05,0.05,0.05,0.24,0.02
"Medical establishment reverses course and officially says any of Vitamin D, HCQ, or ivermectin is actually effective against COVID (1)",0,0.07,0.27,0.01,0.09,0.06,,0.06,0.04,,,,,0.01,0.01,0.11,0.16,0.11,0.01,0.29,0.04,0.04,0.01,0.01,0.01
FDA approves a COVID indication for fluvoxamine (60),0,0.91,0.37,0.92,,0.88,,0.83,0.77,,,,,0.8,0.92,1.2,0.69,1.39,0.92,0.69,0.92,0.92,0.69,0.8,0.92
Some new variant not currently known is greater than 25% of cases (60),0,1.32,0.73,0.92,1.56,0.7,,1.16,1.49,,,,,1.05,0.92,0.36,0.22,0.51,0.69,0.69,0.92,0.92,1.05,0.8,1.2
Most people Scott sees in his local grocery store on December 31st are wearing masks (60),0,0.78,0.43,0.92,0.48,0.57,,0.67,0.53,,,,,0.51,0.92,0.43,0.22,0.92,0.51,0.51,0.92,0.43,0.8,0.43,0.92
Masks still required on US domestic flights (60),0,0.98,0.57,0.92,0.71,0.79,,0.85,0.84,,,,,0.69,0.92,0.51,1.39,0.92,1.2,0.36,0.92,0.51,1.05,0.51,1.2
CDC recommends that triple-vaxxed people get at least one more vax (70),1,0.39,0.34,0.36,0.49,0.31,,0.35,0.27,,,,,0.51,0.36,0.29,0.51,0.29,0.22,0.29,0.22,0.29,0.22,0.22,0.36
"China has fewer than 100,000 COVID cases this year (official estimate) (30)",0,0.56,0.55,0.36,,0.5,,0.5,0.58,,,,,0.92,0.36,0.51,0.11,0.36,0.36,0.51,0.43,0.36,0.92,1.39,0.22
No new real-money prediction market becomes bigger than Polymarket (70),1,0.4,0.31,0.36,0.49,0.34,,0.38,0.37,,,,,0.29,0.36,0.22,0.36,0.36,0.36,0.51,0.36,0.51,0.43,0.16,0.22
Manifold Markets is still alive and active (30),1,1.12,0.32,1.2,0.09,0.9,,0.99,0.89,,,,,1.2,1.2,0.92,1.2,1.2,1.2,1.2,1.2,1.2,0.51,0.16,0.92
New legal US real-money prediction market at least half as big as Kalshi (5),0,0.07,0.1,0.05,0.13,0.06,,0.08,0.06,,,,,0.05,0.05,0.02,0.05,0.05,0.05,0.22,0.05,0.16,0.01,0.01,0.05
New illegal but easy-to-use market satisfying the above (20),0,0.26,0.25,0.22,0.54,0.2,,0.26,0.24,,,,,0.16,0.22,0.29,0.22,0.22,0.22,0.36,0.22,0.22,0.11,0.04,0.22
"Future Perfect predictions (sections: US, world, COVID, science/technology, culture)",,,,,,,,,,,,,,,,,,,,,,,,,
Inflation for the year under three percent (FP: 80; SA: 80),0,0.96,0.58,1.61,0.34,0.97,,0.71,0.43,,,,,0.69,1.61,0.69,1.61,1.61,1.61,1.05,0.92,0.51,0.92,1.61,0.48
"Democrats will lose their majorities in the House and Senate (FP: 95; SA: 90; Matt Yglesias also predicted this event, saying 90)",0,2.29,0.84,2.3,1.31,1.54,,1.95,2.13,,,,,1.2,2.3,2.3,2.3,1.9,2.3,1.39,2.3,1.2,0.97,1.77,1.2
Supreme Court will overturn Roe v. Wade (FP: 65; SA: 60),1,0.69,0.52,0.51,0.78,0.65,,0.62,0.71,,,,,0.36,0.51,0.6,0.51,1.9,0.51,0.92,0.51,0.69,0.8,0.48,0.43
Emmanuel Macron will be reelected president of France (FP: 65; SA: 65),1,0.42,0.26,0.43,0.26,0.31,,0.4,0.33,,,,,0.36,0.43,0.36,0.11,0.43,0.43,0.43,0.43,0.29,0.22,0.36,0.29
Jair Bolsonaro will be reelected president of Brazil (FP: 55; SA: 50),0,0.68,0.34,0.69,0.33,0.51,,0.63,0.57,,,,,0.22,0.69,1.05,0.92,0.69,0.69,0.8,0.69,0.29,0.16,0.29,0.43
Bongbong Marcos will be elected president of the Philippines (FP: 55; SA: 60),1,0.55,0.2,0.51,0.27,0.54,,0.55,0.58,,,,,0.6,0.51,0.43,0.69,0.69,0.51,0.51,0.51,0.51,0.51,0.6,0.4
China will NOT reopen its borders at any point during the first half of 2022 (FP: 80; SA: 90),1,0.18,0.22,0.11,0.02,0.15,,0.18,0.16,,,,,0.29,0.11,0.11,0.11,0.11,0.11,0.29,0.11,0.22,0.11,0.05,0.11
Chinese GDP will continue to grow for the first 3/4 of the year (FP: 95; SA: 90),1,0.12,0.19,0.11,0.05,0.11,,0.11,0.06,,,,,0.11,0.11,0.16,0.11,0.05,0.11,0.16,0.16,0.05,0.05,0.11,0.11
20% of US kids between 0.5 and 5 years old will get at least one COVID vaccine by year's end (FP: 65; SA: 65),0,1.14,0.53,1.05,0.82,1.09,,1.03,1.13,,,,,0.92,1.05,1.39,0.69,1.2,1.05,0.69,1.39,1.39,1.2,1.39,1.05
WHO will designate another Variant Of Concern (FP: 75; SA: 75),0,1.7,0.71,1.39,1.43,1.31,,1.57,1.93,,,,,1.61,1.39,1.05,1.61,1.61,1.39,1.2,1.39,0.69,1.05,1.61,1.9
12 billion COVID shots will be given out globally by November 1st (FP: 80; SA: 80),1,0.23,0.21,0.22,0.08,0.14,,0.21,0.15,,,,,0.01,0.22,0.11,0.11,0.22,0.22,0.29,0.22,0.22,0.16,0.05,0.14
At least one country will have less than 10% of people vaccinated with two shots by November 1st (FP: 70; SA: 95),1,0.11,0.15,0.05,0.21,0.12,,0.11,0.09,,,,,0.11,0.05,0.16,0.22,0.01,0.05,0.22,0.05,0.16,0.05,0.11,0.11
A psychedelic drug will be decriminalized/legalized in at least one more US state (FP: 75; SA: 75),1,0.36,0.34,0.29,0.56,0.29,,0.34,0.34,,,,,0.22,0.29,0.22,0.22,0.29,0.29,0.36,0.29,0.29,0.29,0.36,0.39
AI will discover a new drug promising enough for clinical trials (FP: 85; SA: 85),1,0.28,0.33,0.16,0.34,0.3,,0.28,0.29,,,,,0.43,0.16,0.11,0.22,0.69,0.16,0.22,0.16,0.51,0.43,0.16,0.22
US government will NOT renew the ban on funding gain-of-function research (FP: 60; SA: 60),1,0.6,0.35,0.51,0.31,0.47,,0.58,0.64,,,,,0.69,0.51,0.69,0.11,1.2,0.51,0.43,0.51,0.51,0.36,0.22,0.43
The Biden administration will set the social cost of carbon at $100/ton or more (FP: 70; SA: 70),-,,,,,,,,,,,,,,,,,,,,,,,,
2022 will be warmer than 2021 (FP: 80; SA: 80),1,0.27,0.22,0.22,0.36,0.35,,0.26,0.2,,,,,0.29,0.22,0.36,0.05,0.22,0.22,0.51,0.51,0.22,0.29,0.6,0.54
Kenneth Branagh's Belfast will win Best Picture (FP: 55; SA: 30),0,0.4,0.18,0.36,0.45,0.38,,0.4,0.39,,,,,0.29,0.36,0.36,0.22,0.36,0.36,0.51,0.36,0.36,0.54,0.36,0.43
Yglesias predictions,,,,,,,,,,,,,,,,,,,,,,,,,
Democrats lose at least two Senate seats (MY: 80; SA: 80),0,1.83,0.71,1.61,0.76,1.28,,1.67,2.04,,,,,1.05,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.2,1.2,1.2,0.8
Democrats lose fewer than six Senate seats (MY: 80; SA: 80),1,0.22,0.15,0.22,0.08,0.13,,0.2,0.14,,,,,0.16,0.22,0.22,0.22,0.05,0.22,0.22,0.22,0.11,0.05,0.08,0.05
Nancy Pelosi announces retirement plans (MY: 70; SA: 70),-,,,,,,,,,,,,,,,,,,,,,,,,
Joe Biden is still president (MY: 90; SA: 90),1,0.11,0.3,0.11,0.09,0.08,,0.09,0.05,,,,,0.08,0.11,0.02,0.22,0.05,0.11,0.11,0.08,0.06,0.02,0.08,0.02
At least one Biden cabinet-rank official resigns (MY: 70; SA: 70),1,0.37,0.27,0.36,,0.34,,0.35,0.28,,,,,0.22,0.36,0.29,0.36,0.36,0.36,0.29,0.36,0.51,0.36,0.29,0.36
No military conflict between the PRC and Taiwan (MY: 90; SA: 90),1,0.13,0.18,0.11,0.12,0.09,,0.12,0.07,,,,,0.05,0.11,0.16,0.05,0.11,0.11,0.16,0.13,0.11,0.06,0.08,0.03
Saudi Arabia and Israel establish diplomatic relations (MY: 60; SA: 50),0,0.71,0.36,0.69,,0.58,,0.66,0.62,,,,,0.69,0.69,0.36,0.51,0.92,0.69,0.51,0.6,0.43,0.8,0.33,0.69
Fewer US Covid deaths in 2022 than in 2021 (MY: 80; SA: 90),1,0.13,0.23,0.11,0.04,0.12,,0.12,0.07,,,,,0.16,0.11,0.29,0.05,0.11,0.11,0.22,0.05,0.11,0.11,0.02,0.11
Emmanuel Macron re-elected (MY: 60; SA: 60),-,,,,,,,,,,,,,,,,,,,,,,,,
Liz Cheney loses primary (MY: 80; SA: 80),1,0.26,0.25,0.22,0.26,0.25,,0.25,0.21,,,,,0.51,0.22,0.22,0.11,0.29,0.22,0.36,0.22,0.22,0.22,0.16,0.22
Some version of USICA passes Congress (MY: 70; SA: 70),1,0.37,0.12,0.36,0.22,0.36,,0.37,0.34,,,,,0.43,0.36,0.16,0.36,0.36,0.36,0.36,0.36,0.6,0.36,0.36,0.36
Lula elected president of Brazil (MY: 60; SA: 50),1,0.66,0.27,0.69,0.36,0.47,,0.6,0.53,,,,,0.43,0.51,0.6,0.92,0.69,0.69,0.43,0.69,0.36,0.07,0.43,0.51
China officially abandons Covid Zero (MY: 70; SA: 70),1,0.53,0.45,0.36,0.3,0.55,,0.52,0.61,,,,,0.69,0.36,0.69,0.16,0.36,0.36,0.43,0.36,0.69,0.51,1.2,0.8
Additional booster shots of mRNA vaccines authorized for seniors (MY: 80; SA: 80),1,0.18,0.09,0.22,,0.2,,0.15,0.1,,,,,0.16,0.22,0.11,0.29,0.22,0.22,0.22,0.08,0.22,0.22,0.22,0.29
The Fed ends up doing more than its currently forecast three interest rate hikes (MY: 60; SA: 60),1,0.58,0.34,0.51,0.17,0.56,,0.55,0.57,,,,,0.36,0.51,0.92,0.51,0.51,0.51,0.69,0.43,0.51,0.69,0.51,0.51
Viktor Orbán loses power in Hungary (MY: 60; SA: 60),0,0.76,0.3,0.92,0.3,0.77,,0.65,0.53,,,,,0.43,0.92,0.92,0.36,0.92,0.92,0.92,0.92,0.92,0.92,1.2,0.8
Sinn Fein becomes the largest party in the Northern Ireland assembly (MY: 60; SA: 60),1,0.52,0.15,0.51,0.22,0.41,,0.51,0.49,,,,,0.36,0.51,0.51,0.36,0.51,0.51,0.51,0.51,0.22,0.51,0.29,0.51
Democrats lose at least one governor on net (MY: 60; SA: 60),0,1.13,0.52,0.92,1.43,0.87,,1.12,1.35,,,,,1.05,0.92,0.92,0.8,0.92,0.92,1.05,0.92,0.51,0.92,1.51,0.51
Total Score (lower is better),,39.33,6.56,37.96,-,33.1,,35.29,34.8,,,,,34.44,37.78,36.22,38.71,39.08,37.57,34.98,35.88,30.38,32.03,32.82,33.35
Percentile (higher is better),,-,-,51,,97,,84,88,#N/A,#N/A,#N/A,#N/A,91,53,75,40,36,58,87,78,99,98,97,96
Subscore on questions with market prediction,,35.71,5.92,34.73,26.59,29.71,,31.95,31.77,,,,,30.64,34.55,32.5,32.42,35.28,34.16,31.42,33,27.26,28.42,29,30.47
Subscore percentile,,-,-,49,100,97,,84,85,#N/A,#N/A,#N/A,#N/A,94,51,78,79,39,58,88,73,99,98,98,95
Demographics,,,,,,,,,,,,,,,,,,,,,,,,,
Used Prediction Markets,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Superforecaster,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Length of Time,,,,,,,,,,,,,,More than two years,Six months to one year,More than two years,More than two years,More than two years,Six months to one year,More than two years,More than two years,More than two years,More than two years,More than two years,More than two years
LW ID,,,,,,,,,,,,,,Sorta,Yes,Yes,No,Sorta,Yes,Sorta,Yes,No,Sorta,No,Sorta
EA ID,,,,,,,,,,,,,,Yes,Yes,Yes,No,Yes,Sorta,No,Sorta,No,Sorta,Sorta,Yes
Profession,,,,,,,,,,,,,,"Other ""social science""",Psychology,"Other ""social science""","Other ""social science""","Computers (practical: IT, programming, etc.)",Art,Business,Finance,Finance,Finance,Economics,"Other ""social science"""
Degree,,,,,,,,,,,,,,Master's,Other professional degree,Ph. D.,Master's,Bachelor's,Bachelor's,JD,Master's,Bachelor's,Ph. D.,Ph. D.,Bachelor's
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
